t,C,B,D,L,P,R,drift,shock,C_std_w
--- new run 20251104_145948 ---,,,,,,,,,
72,0.3827756508717075,0.1806369121108137,0.4848105222557504,0.6064716188471438,0.3048010433634192,0.3516910831376681,-0.0002,0.0,0.04005015172269672
73,0.37426414232981203,0.19227562469126974,0.42641016990273417,0.5642005962624602,0.33044022093748215,0.372878134941768,-0.0002,0.0,0.03780210864701617
74,0.36112613135840155,0.1877774547408032,0.3751098367181677,0.5530601407557347,0.3100780713910014,0.39198335732567435,-0.0002,0.0,0.03651024158984392
75,0.3661876908749148,0.2555093707136291,0.3816177513568074,0.5296808069147713,0.2749615254819048,0.3903005289026262,-0.0002,0.0,0.03545974075429658
76,0.35908505390363576,0.2502055749082215,0.34707217657098327,0.5331714639855368,0.24043411984257892,0.4236637470545052,-0.0002,0.0,0.03440967873692373
77,0.37170040250080016,0.28208509308186613,0.3796147145298759,0.5189499498672809,0.2558697367421216,0.4197016618979245,-0.0002,0.0,0.033005741100038885
78,0.35793028551477,0.2704207312397917,0.3694403448156139,0.4799584916762564,0.21255382586526797,0.4435311056242059,-0.0002,0.0,0.03183210600446522
79,0.3501636026319978,0.2646836691222061,0.37593309034944256,0.51000980332988,0.16055985101478576,0.4200072034097291,-0.0002,0.0,0.030434969634913173
80,0.35796758239086335,0.2699437144261582,0.38769593394940977,0.4986975698178471,0.1914352279957212,0.4263190515746182,-0.0002,0.0,0.029249869577602828
81,0.3409682932017214,0.23354225026132241,0.3597730206696904,0.5228617016326857,0.205350171689403,0.36934721440442014,-0.0002,0.0,0.02872397118604176
82,0.3557253992989962,0.27397361937719467,0.37771383160250704,0.5631619912635807,0.19383914525715049,0.36047602776445037,-0.0002,0.0,0.027990042409840658
83,0.36778032750135087,0.2401799068346551,0.4538217187064637,0.5578983645013662,0.24146514101960886,0.341057254222832,-0.0002,0.0,0.02741804953488679
84,0.3546581652549372,0.24509514260464813,0.4036811441093613,0.5464123500383631,0.2709777882716097,0.3035049397555971,-0.0002,0.0,0.02726339462141724
85,0.35301350399047604,0.2772619689526865,0.41379827858481516,0.5150938222888354,0.2559298701288395,0.2897329694544347,-0.0002,0.0,0.027107213241760138
86,0.33840904871671285,0.27577638881441147,0.3977139596065224,0.49027518526469926,0.24679223905339498,0.25892627729616324,-0.0002,0.0,0.02732779061972586
87,0.3274805416490772,0.23709059163511917,0.39626866513130166,0.5167614120313363,0.20091108789987402,0.25903152184008205,-0.0002,0.0,0.027563724484158558
88,0.32753463904714547,0.2175919057910803,0.366954302017261,0.5423645416127749,0.18536599722715405,0.3039805723320284,-0.0002,0.0,0.027549137157491566
89,0.3236958801868319,0.19419672486668849,0.37854936182603593,0.5355460514160588,0.16274534295336315,0.321610823609361,-0.0002,0.0,0.02659957162040147
90,0.3203998398116112,0.18954724767444428,0.3966456792474453,0.534127306199549,0.13017085529432001,0.3185487463136938,-0.0002,0.0,0.024499219390740682
91,0.3128085076017123,0.1911059027599285,0.4253995678638812,0.5069392359794936,0.12899095969630084,0.26689238440679264,-0.0002,0.0,0.02285769707070159
92,0.3074341430061703,0.21065069457022798,0.39295507862466184,0.45274845034698546,0.12721445466805872,0.30006293316667804,-0.0002,0.0,0.021973881447457374
93,0.28648922284315875,0.16491728612387171,0.36031401106300903,0.43045020361538705,0.09332955527779863,0.31144576981671557,-0.0002,0.0,0.02283933194784995
94,0.27964836262526327,0.14069626277253713,0.33866856896920294,0.4479493655758564,0.07066411634873809,0.3244291727501372,-0.0002,0.0,0.024432770296523368
95,0.2667820290402375,0.11155470761607583,0.3023044135427443,0.3928858869001287,0.12650019995608996,0.3148214017862073,-0.0002,0.0,0.027035166188910716
96,0.2778724443103809,0.1188727086545287,0.3013729282733203,0.3976847396103466,0.12799079433732113,0.37206791296228825,-0.0002,0.0,0.028265801503970064
97,0.257999319323584,0.08770491092581428,0.254649065090375,0.367325949555816,0.08794952404456474,0.3944767745367465,-0.0002,0.0,0.030680477527774638
98,0.2564641513239015,0.11231625721194699,0.2258095987358652,0.32561287626192625,0.0773056244503319,0.4362104908730383,-0.0002,0.0,0.032799629301729215
99,0.24018904363925364,0.027729174677997515,0.24160840180634144,0.2933402194384687,0.10851663884657013,0.40387277264673577,-0.0002,0.0,0.035842956970643006
100,0.23677624184371254,0.0191666998615223,0.19642002878715453,0.2640224839235258,0.15009181373795366,0.42849013322343754,-0.0002,0.0,0.038837961288687356
101,0.22197144674570846,0.007116655297002032,0.17031485768102686,0.20720826982817137,0.13828211238092414,0.4275630356458486,-0.0002,0.0,0.04228382165005335
102,0.2166119115244467,0.00459502456196751,0.16750109984174175,0.1735539810113636,0.1362938958199556,0.4264028342597954,-0.0002,0.0,0.04559448726374946
103,0.22737398903647596,0.043311885696062834,0.22350310347231261,0.16944431020382986,0.113304717284679,0.42445337036693653,-0.0002,0.0,0.04804633223946671
104,0.21957844991621214,0.025083247438429726,0.20123008899992514,0.16768480564616559,0.08200558435010954,0.44263657290158703,-0.0002,0.0,0.05056447968971905
105,0.21303876659101129,0.021965780962907407,0.20873033820572373,0.16219660456704543,0.060187950932537176,0.4141977861091215,-0.0002,0.0,0.053150539578907204
106,0.20501678501444898,0.014847500833171177,0.19226752808288938,0.1692136445633327,0.060054999836607996,0.3733285836714396,-0.0002,0.0,0.05583956960572915
107,0.18870169563648345,0.01686113981602173,0.15198171556866666,0.1507193157977543,0.05122439156007257,0.3110703853341003,-0.0002,0.0,0.05893874417118019
108,0.18639239423666493,0.01960636325182117,0.15651121606009671,0.14597858999501412,0.03849487338592475,0.2998622755308561,-0.0002,0.0,0.06167383394350322
109,0.17698532385602614,0.0,0.14842020496823236,0.12940023588956825,0.04124543516654671,0.2637381928445104,-0.0002,0.0,0.06449625759283512
110,0.17855245660931335,0.0070676972703343196,0.15271677177256246,0.12515335092420654,0.028069290473958043,0.28030838961861376,-0.0002,0.0,0.06683621720211408
